"Area","Feature","AlloFlowImplementation","Source","Evidence","MagicSchool","Brisk","Diffit","Curipod","Eduaide","SchoolAI","Khanmigo","ComparableCompetitors","StackUp","Notes"
"3.1 Content Input & Generation","Source Text Input","Accept teacher-pasted text, file upload, or URL as the lesson's source material","FEATURE_INVENTORY.md","Sidebar â†’ Source Input panel (always visible, first tool) â†’ paste/upload OR toggle ""Generate""","Full/dedicated comparable","Full/dedicated comparable","Partial/narrower comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via Spaces/assistant","Full/dedicated teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Partial/narrower comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via Spaces/assistant); Khanmigo (Full/dedicated teacher assistant comparable)","Crowded category; AlloFlow wins on bundled UDL/accessibility breadth","Competitors are strong at fast teacher-material generation; AlloFlow differentiates by connecting generation to accessibility, live tools, STEM/SEL, and export remediation."
"3.1 Content Input & Generation","Generate Source Text (AI)","Use Gemini to author original source material at specified reading level, tone, and length with optional citations","FEATURE_INVENTORY.md","Source Input panel â†’ toggle ""Generate Source Text"" â†’ fill topic + form â†’ Generate","Full/dedicated comparable","Full/dedicated comparable","Partial/narrower comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via Spaces/assistant","Full/dedicated teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Partial/narrower comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via Spaces/assistant); Khanmigo (Full/dedicated teacher assistant comparable)","Crowded category; AlloFlow wins on bundled UDL/accessibility breadth","Competitors are strong at fast teacher-material generation; AlloFlow differentiates by connecting generation to accessibility, live tools, STEM/SEL, and export remediation."
"3.1 Content Input & Generation","Generic Content Output View","Routing fallback: renders the current generated content when no dedicated view exists (e.g., word-sounds output before user enters a specific subview)","FEATURE_INVENTORY.md","Auto-routed when a generated item has no specific activeView mapping","Full/dedicated comparable","Full/dedicated comparable","Partial/narrower comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via Spaces/assistant","Full/dedicated teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Partial/narrower comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via Spaces/assistant); Khanmigo (Full/dedicated teacher assistant comparable)","Crowded category; AlloFlow wins on bundled UDL/accessibility breadth","Competitors are strong at fast teacher-material generation; AlloFlow differentiates by connecting generation to accessibility, live tools, STEM/SEL, and export remediation."
"3.2 Text Analysis & Adaptation","Analysis","Decompose source: readability metrics, grammar issues, accuracy/fact-checking, discrepancy flags","FEATURE_INVENTORY.md","Sidebar â†’ Analysis (auto-runs on input change)","Partial comparable","Partial comparable","Partial comparable","Partial curriculum-alignment comparable","Strong comparable","Partial comparable","Partial comparable","MagicSchool (Partial comparable); Brisk (Partial comparable); Diffit (Partial comparable); Curipod (Partial curriculum-alignment comparable); Eduaide (Strong comparable); SchoolAI (Partial comparable); Khanmigo (Partial comparable)","Comparable; Eduaide and teacher-assistant tools are strong, AlloFlow wins when tied to remediation and UDL","Analysis/alignment exists in several products; AlloFlow advantage is the connection to downstream accessible resources and audits."
"3.2 Text Analysis & Adaptation","Glossary","Tier 1/2/3 vocabulary extraction with definitions, optional visual variants, AI enhancement","FEATURE_INVENTORY.md","Sidebar â†’ Glossary â†’ set tier counts â†’ Generate","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.2 Text Analysis & Adaptation","Simplified Text","Generate leveled versions (K-12 grade bands) of source text preserving meaning","FEATURE_INVENTORY.md","Sidebar â†’ Simplified â†’ choose grade levels â†’ Generate","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.3 Phonics & Reading Fundamentals","Word Sounds Studio","AI-driven phonics: sound-spelling patterns, word families, sight words, blending drills, IPA-to-MP3 audio playback","FEATURE_INVENTORY.md","Sidebar â†’ Word Sounds (ðŸ”Š) â†’ focus phonemes/families â†’ Generate","Generic/partial phonics prompt comparable","No public dedicated comparable found","Partial vocabulary/reading-level comparable","No public dedicated comparable found","Generic/partial literacy comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Generic/partial phonics prompt comparable); Diffit (Partial vocabulary/reading-level comparable); Eduaide (Generic/partial literacy comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","AlloFlow ahead on dedicated phonics/audio workflow","Competitors support reading materials or tutoring; AlloFlow has a dedicated phonics studio with sound-spelling, audio, probes, and student practice modes."
"3.4 Comprehension & Engagement","FAQ Generator","Extract 5-15 anticipated student questions from source with AI answers at appropriate level","FEATURE_INVENTORY.md","Sidebar â†’ FAQ â†’ set question count â†’ Generate","Full/dedicated comparable","Generic/partial comparable","Partial comparable","Partial classroom activity comparable","Full/dedicated comparable","Generic/Space-based comparable","Partial teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Generic/partial comparable); Diffit (Partial comparable); Curipod (Partial classroom activity comparable); Eduaide (Full/dedicated comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Partial teacher assistant comparable)","Comparable; AlloFlow advantage is integration with the generated learning pack","FAQ/question generation is common; AlloFlow differentiates by tying it to source analysis, accessibility supports, and downstream student tools."
"3.4 Comprehension & Engagement","Brainstorm","Prompt students for prior knowledge / ideas with AI follow-up + voting on strongest contributions","FEATURE_INVENTORY.md","Sidebar â†’ Brainstorm (ðŸ’¡) â†’ students enter ideas â†’ AI evaluates","Partial comparable","Partial classroom-content comparable","No public dedicated comparable found","Strong classroom-activity comparable","Partial comparable","Partial via Spaces","Generic assistant comparable","MagicSchool (Partial comparable); Brisk (Partial classroom-content comparable); Curipod (Strong classroom-activity comparable); Eduaide (Partial comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic assistant comparable)","Comparable; Curipod likely stronger for live classroom brainstorming polish","AlloFlow has an integrated brainstorm tool with AI follow-up; Curipod is stronger for polished live participation routines."
"3.4 Comprehension & Engagement","UDL Guide / Socratic Dialogue","Context-aware Socratic prompts + UDL scaffolding suggestions on demand","FEATURE_INVENTORY.md","Sidebar â†’ ""UDL Advice"" or ? key","Partial/full comparable via custom chatbots/student tools","No public dedicated comparable found","No public dedicated comparable found","Partial classroom interaction comparable","Generic assistant comparable","Strong comparable via Spaces","Strong comparable as AI tutor","MagicSchool (Partial/full comparable via custom chatbots/student tools); Curipod (Partial classroom interaction comparable); Eduaide (Generic assistant comparable); SchoolAI (Strong comparable via Spaces); Khanmigo (Strong comparable as AI tutor)","Mixed; AlloFlow more gameful and cross-tool, SchoolAI/Khanmigo stronger as polished tutor/chat products","AlloFlow adds quest/rapport/game mechanics and curriculum ties; SchoolAI/Khanmigo have clearer public positioning and scale for AI conversation."
